Permission,count
android.permission.INTERNET,340
android.permission.ACCESS_NETWORK_STATE,340
android.permission.WAKE_LOCK,329
android.permission.POST_NOTIFICATIONS,309
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,280
android.permission.FOREGROUND_SERVICE,279
com.google.android.c2dm.permission.RECEIVE,273
android.permission.WRITE_EXTERNAL_STORAGE,259
android.permission.VIBRATE,251
android.permission.READ_EXTERNAL_STORAGE,247
android.permission.RECEIVE_BOOT_COMPLETED,235
com.google.android.gms.permission.AD_ID,225
android.permission.CAMERA,221
android.permission.ACCESS_WIFI_STATE,197
android.permission.ACCESS_COARSE_LOCATION,180
android.permission.ACCESS_ADSERVICES_ATTRIBUTION,178
android.permission.ACCESS_ADSERVICES_AD_ID,168
android.permission.ACCESS_FINE_LOCATION,160
android.permission.SCHEDULE_EXACT_ALARM,144
android.permission.USE_FINGERPRINT,138
android.permission.RECORD_AUDIO,138
android.permission.USE_BIOMETRIC,132
com.android.vending.BILLING,123
android.permission.BLUETOOTH,107
android.permission.MODIFY_AUDIO_SETTINGS,104
android.permission.READ_PHONE_STATE,98
android.permission.BLUETOOTH_CONNECT,93
android.permission.ACCESS_ADSERVICES_TOPICS,80
android.permission.READ_MEDIA_IMAGES,80
android.permission.BLUETOOTH_ADMIN,77
android.permission.BLUETOOTH_SCAN,71
android.permission.ACTIVITY_RECOGNITION,65
android.permission.SYSTEM_ALERT_WINDOW,64
com.huawei.android.launcher.permission.READ_SETTINGS,60
com.htc.launcher.permission.READ_SETTINGS,60
com.huawei.android.launcher.permission.WRITE_SETTINGS,60
com.oppo.launcher.permission.WRITE_SETTINGS,59
com.anddoes.launcher.permission.UPDATE_COUNT,59
com.sec.android.provider.badge.permission.READ,59
com.sec.android.provider.badge.permission.WRITE,59
com.majeur.launcher.permission.UPDATE_BADGE,59
com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,59
com.oppo.launcher.permission.READ_SETTINGS,59
com.huawei.android.launcher.permission.CHANGE_BADGE,59
com.sonyericsson.home.permission.BROADCAST_BADGE,59
com.htc.launcher.permission.UPDATE_SHORTCUT,59
com.google.android.providers.gsf.permission.READ_GSERVICES,58
android.permission.READ_APP_BADGE,58
me.everything.badger.permission.BADGE_COUNT_READ,58
me.everything.badger.permission.BADGE_COUNT_WRITE,58
android.permission.CALL_PHONE,54
