Permission,old_count,new_count
.permission.C2D_MESSAGE,1.0,0.0
.permission.MAPS_RECEIVE,0.0,1.0
.permission.RECEIVE_ADM_MESSAGE,0.0,1.0
BIND_GET_INSTALL_REFERRER_SERVICE,4.0,7.0
FOREGROUND_SERVICE_TYPE_MEDIA_PROJECTION,1.0,0.0
Manifest.permission.CAPTURE_AUDIO_OUTPUT,1.0,1.0
Manifest.permission.READ_EXTERNAL_STORAGE,1.0,1.0
Manifest.permission.USE_BIOMETRIC,0.0,1.0
ai.replika.app.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1.0,1.0
android.Manifest.permission.MODIFY_AUDIO_SETTINGS,0.0,1.0
android.gms.permission.ACTIVITY_RECOGNITION,2.0,1.0
android.hardware.place.gps,1.0,1.0
android.launcher.permission.INSTALL_SHORTCUT,1.0,1.0
android.permission.ACCESS_ADSERVICES_AD_ID,168.0,215.0
android.permission.ACCESS_ADSERVICES_ATTRIBUTION,178.0,232.0
android.permission.ACCESS_ADSERVICES_CUSTOM_AUDIENCE,0.0,58.0
android.permission.ACCESS_ADSERVICES_TOPICS,80.0,112.0
android.permission.ACCESS_BACKGROUND_LOCATION,49.0,53.0
android.permission.ACCESS_COARSE_LOCATION,180.0,209.0
android.permission.ACCESS_DOWNLOAD_MANAGER,1.0,1.0
android.permission.ACCESS_FINE_LOCATION,160.0,191.0
android.permission.ACCESS_LOCATION,1.0,1.0
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,6.0,8.0
android.permission.ACCESS_MEDIA_LOCATION,10.0,15.0
android.permission.ACCESS_NETWORK_STATE,340.0,376.0
android.permission.ACCESS_NOTIFICATION_POLICY,35.0,38.0
android.permission.ACCESS_WIFI_STATE,197.0,237.0
android.permission.ACTION_MANAGE_OVERLAY_PERMISSION,1.0,0.0
android.permission.ACTION_NOTIFICATION_LISTENER_SETTINGS,1.0,1.0
android.permission.ACTIVITY_RECOGNITION,65.0,88.0
android.permission.AD_ID,0.0,1.0
android.permission.AD_SERVICES_CONFIG,2.0,7.0
android.permission.ANSWER_PHONE_CALLS,10.0,15.0
android.permission.AUDIO_CAPTURE,2.0,1.0
android.permission.AUTHENTICATE_ACCOUNTS,10.0,15.0
android.permission.BAIDU_LOCATION_SERVICE,0.0,2.0
android.permission.BATTERY_STATS,7.0,6.0
android.permission.BILLING,1.0,2.0
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE,7.0,9.0
android.permission.BLUETOOTH,107.0,129.0
android.permission.BLUETOOTH.SCAN,1.0,1.0
android.permission.BLUETOOTH_ADMIN,77.0,95.0
android.permission.BLUETOOTH_ADVERTISE,18.0,24.0
android.permission.BLUETOOTH_CONNECT,93.0,117.0
android.permission.BLUETOOTH_CONNECT ,0.0,1.0
android.permission.BLUETOOTH_PRIVILEGED,2.0,3.0
android.permission.BLUETOOTH_SCAN,71.0,89.0
android.permission.BODY_SENSORS,12.0,13.0
android.permission.BODY_SENSORS_BACKGROUND,6.0,5.0
android.permission.BROADCAST_CLOSE_SYSTEM_DIALOGS,21.0,27.0
android.permission.BROADCAST_STICKY,21.0,22.0
android.permission.CALL_PHONE,54.0,66.0
android.permission.CALL_PRIVILEGED,2.0,0.0
android.permission.CAMERA,221.0,256.0
android.permission.CAPTURE_AUDIO_OUTPUT,0.0,1.0
android.permission.CAPTURE_VIDEO_OUTPUT,0.0,1.0
android.permission.CHANGE_CONFIGURATION,2.0,1.0
android.permission.CHANGE_NETWORK_STATE,19.0,26.0
android.permission.CHANGE_WIFI_MULTICAST_STATE,2.0,7.0
android.permission.CHANGE_WIFI_STATE,17.0,17.0
android.permission.CONFIGURE_WIFI_DISPLAY,0.0,1.0
android.permission.CONTROL_MEDIA_DISABLING,1.0,1.0
android.permission.CONTROL_WIFI_DISPLAY,0.0,1.0
android.permission.CREDENTIAL_MANAGER_SET_ALLOWED_PROVIDERS,0.0,1.0
android.permission.DETECT_SCREEN_CAPTURE,12.0,10.0
android.permission.DEVICE_POWER,3.0,2.0
android.permission.DISABLE_KEYGUARD,8.0,10.0
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,31.0,43.0
android.permission.EXPAND_STATUS_BAR,6.0,11.0
android.permission.FLASHLIGHT,16.0,19.0
android.permission.FORCE_STOP_PACKAGES,0.0,1.0
android.permission.FOREGROUND_SERVICE,279.0,318.0
android.permission.FOREGROUND_SERVICE_CAMERA,3.0,8.0
android.permission.FOREGROUND_SERVICE_CONNECTED_DEVICE,29.0,37.0
android.permission.FOREGROUND_SERVICE_DATA_SYNC,24.0,41.0
android.permission.FOREGROUND_SERVICE_HEALTH,14.0,23.0
android.permission.FOREGROUND_SERVICE_LOCATION,40.0,46.0
android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK,33.0,50.0
android.permission.FOREGROUND_SERVICE_MEDIA_PROJECTION,9.0,11.0
android.permission.FOREGROUND_SERVICE_MICROPHONE,25.0,33.0
android.permission.FOREGROUND_SERVICE_PHONE_CALL,11.0,12.0
android.permission.FOREGROUND_SERVICE_REMOTE_MESSAGING,6.0,6.0
android.permission.FOREGROUND_SERVICE_SHORT_SERVICE,1.0,1.0
android.permission.FOREGROUND_SERVICE_SPECIAL_USE,12.0,17.0
android.permission.GALLERY,1.0,2.0
android.permission.GET_ACCOUNTS,25.0,37.0
android.permission.GET_PACKAGE_SIZE,3.0,2.0
android.permission.GET_TASKS,13.0,13.0
android.permission.HIDE_OVERLAY_WINDOWS,3.0,5.0
android.permission.HIGH_SAMPLING_RATE_SENSORS,11.0,14.0
android.permission.IGNORE_BATTERY_OPTIMIZATIONS_REQUEST,0.0,2.0
android.permission.INTERNET,340.0,377.0
android.permission.KILL_BACKGROUND_PROCESSES,2.0,4.0
android.permission.MANAGE_ACCOUNTS,4.0,6.0
android.permission.MANAGE_DOCUMENTS,0.0,2.0
android.permission.MANAGE_FINGERPRINT,1.0,0.0
android.permission.MANAGE_MEDIA,1.0,1.0
android.permission.MANAGE_OWN_CALLS,7.0,11.0
android.permission.MAPS_RECEIVE,1.0,1.0
android.permission.MEDIA_CONTENT_CONTROL,6.0,7.0
android.permission.MEDIA_PROJECTION,0.0,1.0
android.permission.MICROPHONE,2.0,1.0
android.permission.MIGRATE_HEALTH_CONNECT_DATA,1.0,1.0
android.permission.MODIFY_AUDIO_SETTINGS,104.0,120.0
android.permission.MODIFY_PHONE_STATE,1.0,1.0
android.permission.MOUNT_UNMOUNT_FILESYSTEMS,1.0,4.0
android.permission.NEARBY_WIFI_DEVICES,1.0,2.0
android.permission.NFC,9.0,14.0
android.permission.NOTIFICATION_POLICY_ACCESS_SETTINGS,2.0,0.0
android.permission.PACKAGE_USAGE_STATS,3.0,8.0
android.permission.PERMISSION_GRANTED,1.0,1.0
android.permission.POST_NOTIFICATION,1.0,1.0
android.permission.POST_NOTIFICATIONS,309.0,344.0
android.permission.PROCESS_OUTGOING_CALLS,1.0,2.0
android.permission.QUERY_ALL_PACKAGES,4.0,8.0
android.permission.QUICKBOOT_POWERON,1.0,0.0
android.permission.READ_APP_BADGE,58.0,66.0
android.permission.READ_BASIC_PHONE_STATE,0.0,4.0
android.permission.READ_CALENDAR,37.0,50.0
android.permission.READ_CALL_LOG,8.0,13.0
android.permission.READ_CONTACTS,26.0,42.0
android.permission.READ_EXTERNAL_STORAGE,247.0,249.0
android.permission.READ_INTERNAL_STORAGE,1.0,2.0
android.permission.READ_LOGS,4.0,5.0
android.permission.READ_MEDIA_AUDIO,22.0,25.0
