App,Permission,Count,Women APK
Step Tracker & Pedometer,android.permission.ACCESS_FINE_LOCATION,1,No
Step Tracker & Pedometer,android.permission.ACCESS_COARSE_LOCATION,1,No
Step Tracker & Pedometer,android.permission.WRITE_EXTERNAL_STORAGE,1,No
Step Tracker & Pedometer,android.permission.READ_EXTERNAL_STORAGE,1,No
Step Tracker & Pedometer,android.permission.RECEIVE_BOOT_COMPLETED,1,No
Step Tracker & Pedometer,android.permission.VIBRATE,1,No
Step Tracker & Pedometer,android.permission.INTERNET,1,No
Step Tracker & Pedometer,android.permission.ACCESS_NETWORK_STATE,1,No
Step Tracker & Pedometer,android.permission.WAKE_LOCK,1,No
Step Tracker & Pedometer,android.permission.FOREGROUND_SERVICE,1,No
Step Tracker & Pedometer,com.android.vending.BILLING,1,No
Step Tracker & Pedometer,android.permission.USE_CREDENTIALS,1,No
Step Tracker & Pedometer,android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,1,No
Step Tracker & Pedometer,android.permission.ACCESS_BACKGROUND_LOCATION,1,No
Step Tracker & Pedometer,android.permission.ACTIVITY_RECOGNITION,1,No
Step Tracker & Pedometer,android.permission.HIGH_SAMPLING_RATE_SENSORS,1,No
Step Tracker & Pedometer,android.permission.SCHEDULE_EXACT_ALARM,1,No
Step Tracker & Pedometer,android.permission.POST_NOTIFICATIONS,1,No
Step Tracker & Pedometer,com.huawei.permission.external_app_settings.USE_COMPONENT,1,No
Step Tracker & Pedometer,android.permission.FOREGROUND_SERVICE_HEALTH,1,No
Step Tracker & Pedometer,android.permission.FOREGROUND_SERVICE_LOCATION,1,No
Step Tracker & Pedometer,com.google.android.gms.permission.AD_ID,1,No
Step Tracker & Pedometer,com.google.android.c2dm.permission.RECEIVE,1,No
Step Tracker & Pedometer,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,1,No
Step Tracker & Pedometer,android.permission.ACCESS_ADSERVICES_AD_ID,1,No
Step Tracker & Pedometer,android.permission.ACCESS_ADSERVICES_ATTRIBUTION,1,No
Step Tracker & Pedometer,android.permission.ACCESS_ADSERVICES_TOPICS,1,No
Step Tracker & Pedometer,steptracker.healthandfitness.walkingtracker.pedometer.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1,No
Step Tracker & Pedometer,com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,1,No
My Invisalign,android.permission.ACCESS_COARSE_LOCATION,1,No
My Invisalign,android.permission.ACCESS_FINE_LOCATION,1,No
My Invisalign,android.permission.ACCESS_NETWORK_STATE,1,No
My Invisalign,android.permission.ACCESS_WIFI_STATE,1,No
My Invisalign,android.permission.INTERNET,1,No
My Invisalign,android.permission.CAMERA,1,No
My Invisalign,android.permission.CALL_PHONE,1,No
My Invisalign,android.permission.POST_NOTIFICATIONS,1,No
My Invisalign,android.permission.CALL_PRIVILEGED,1,No
My Invisalign,android.permission.CHANGE_WIFI_STATE,1,No
My Invisalign,com.google.android.gms.permission.AD_ID,1,No
My Invisalign,android.permission.SCHEDULE_EXACT_ALARM,1,No
My Invisalign,android.permission.READ_EXTERNAL_STORAGE,1,No
My Invisalign,android.permission.WRITE_EXTERNAL_STORAGE,1,No
My Invisalign,android.permission.READ_MEDIA_IMAGES,1,No
My Invisalign,android.permission.READ_MEDIA_VIDEO,1,No
My Invisalign,android.permission.ACCESS_NOTIFICATION_POLICY,1,No
My Invisalign,android.permission.WAKE_LOCK,1,No
My Invisalign,com.aligntech.myinvisalign.MYPERMISSION,1,No
My Invisalign,android.permission.USE_FINGERPRINT,1,No
My Invisalign,android.permission.FOREGROUND_SERVICE,1,No
My Invisalign,android.permission.BLUETOOTH,1,No
My Invisalign,android.permission.BLUETOOTH_ADMIN,1,No
My Invisalign,android.permission.BLUETOOTH_SCAN,1,No
My Invisalign,android.permission.BLUETOOTH_CONNECT,1,No
My Invisalign,android.permission.FOREGROUND_SERVICE_DATA_SYNC,1,No
My Invisalign,android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,1,No
My Invisalign,android.permission.RECEIVE_BOOT_COMPLETED,1,No
My Invisalign,android.permission.VIBRATE,1,No
My Invisalign,android.permission.READ_PHONE_STATE,1,No
My Invisalign,android.permission.USE_BIOMETRIC,1,No
My Invisalign,android.permission.READ_MEDIA_AUDIO,1,No
My Invisalign,com.google.android.c2dm.permission.RECEIVE,1,No
My Invisalign,com.google.android.providers.gsf.permission.READ_GSERVICES,1,No
My Invisalign,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,1,No
My Invisalign,com.aligntech.myinvisalign.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1,No
My Invisalign,android.permission.REORDER_TASKS,1,No
My Invisalign,android.permission.ACCESS_ADSERVICES_ATTRIBUTION,1,No
My Invisalign,android.permission.ACCESS_ADSERVICES_AD_ID,1,No
My Invisalign,android.permission.ACCESS_BACKGROUND_LOCATION,1,No
Benefits,android.permission.CAMERA,1,No
Benefits,android.permission.INTERNET,1,No
Benefits,android.permission.ACCESS_NETWORK_STATE,1,No
Benefits,android.permission.READ_EXTERNAL_STORAGE,1,No
Benefits,android.permission.WRITE_EXTERNAL_STORAGE,1,No
Benefits,android.permission.VIBRATE,1,No
Benefits,android.permission.USE_FINGERPRINT,1,No
Benefits,android.permission.POST_NOTIFICATIONS,1,No
Benefits,android.permission.WAKE_LOCK,1,No
Benefits,com.google.android.c2dm.permission.RECEIVE,1,No
Benefits,com.lighthouse1.mobilebenefits.dbi.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1,No
Benefits,android.permission.ACCESS_WIFI_STATE,1,No
Benefits,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,1,No
Benefits,android.permission.BLUETOOTH,1,No
Benefits,android.permission.ACCESS_COARSE_LOCATION,1,No
Benefits,android.permission.ACCESS_FINE_LOCATION,1,No
Benefits,android.permission.BLUETOOTH_CONNECT,1,No
Deep Sleep Sounds,android.permission.INTERNET,1,No
Deep Sleep Sounds,android.permission.ACCESS_WIFI_STATE,1,No
Deep Sleep Sounds,com.android.vending.BILLING,1,No
Deep Sleep Sounds,android.permission.FOREGROUND_SERVICE,1,No
Deep Sleep Sounds,android.permission.WAKE_LOCK,1,No
Deep Sleep Sounds,com.google.android.gms.permission.AD_ID,1,No
Deep Sleep Sounds,android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK,1,No
Deep Sleep Sounds,android.permission.ACCESS_NETWORK_STATE,1,No
Deep Sleep Sounds,android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,1,No
Deep Sleep Sounds,android.permission.ACCESS_ADSERVICES_ATTRIBUTION,1,No
Deep Sleep Sounds,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,1,No
Deep Sleep Sounds,android.permission.POST_NOTIFICATIONS,1,No
Deep Sleep Sounds,com.google.android.c2dm.permission.RECEIVE,1,No
Deep Sleep Sounds,android.permission.ACCESS_ADSERVICES_AD_ID,1,No
Deep Sleep Sounds,android.permission.ACCESS_ADSERVICES_TOPICS,1,No
Deep Sleep Sounds,com.google.android.providers.gsf.permission.READ_GSERVICES,1,No
Deep Sleep Sounds,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,1,No
Deep Sleep Sounds,com.kitefaster.whitenoise.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1,No
Deep Sleep Sounds,android.permission.REORDER_TASKS,1,No
MyNetDiary,android.permission.INTERNET,1,No
MyNetDiary,android.permission.ACCESS_NETWORK_STATE,1,No
MyNetDiary,com.android.vending.CHECK_LICENSE,1,No
MyNetDiary,android.permission.CAMERA,1,No
MyNetDiary,com.google.android.gms.permission.AD_ID,1,No
MyNetDiary,android.permission.POST_NOTIFICATIONS,1,No
MyNetDiary,android.permission.FOREGROUND_SERVICE,1,No
MyNetDiary,com.android.vending.BILLING,1,No
MyNetDiary,android.permission.ACTIVITY_RECOGNITION,1,No
MyNetDiary,android.permission.health.READ_HEART_RATE,1,No
MyNetDiary,android.permission.health.WRITE_HEART_RATE,1,No
MyNetDiary,android.permission.health.READ_RESTING_HEART_RATE,1,No
MyNetDiary,android.permission.health.WRITE_RESTING_HEART_RATE,1,No
MyNetDiary,android.permission.health.READ_BLOOD_PRESSURE,1,No
MyNetDiary,android.permission.health.WRITE_BLOOD_PRESSURE,1,No
MyNetDiary,android.permission.health.READ_BLOOD_GLUCOSE,1,No
MyNetDiary,android.permission.health.WRITE_BLOOD_GLUCOSE,1,No
MyNetDiary,android.permission.health.READ_BODY_FAT,1,No
MyNetDiary,android.permission.health.WRITE_BODY_FAT,1,No
MyNetDiary,android.permission.health.READ_BONE_MASS,1,No
MyNetDiary,android.permission.health.WRITE_BONE_MASS,1,No
MyNetDiary,android.permission.health.READ_DISTANCE,1,No
MyNetDiary,android.permission.health.READ_FLOORS_CLIMBED,1,No
MyNetDiary,android.permission.health.READ_SLEEP,1,No
MyNetDiary,android.permission.health.READ_STEPS,1,No
MyNetDiary,android.permission.health.READ_WEIGHT,1,No
MyNetDiary,android.permission.health.WRITE_WEIGHT,1,No
MyNetDiary,android.permission.health.READ_HYDRATION,1,No
MyNetDiary,android.permission.health.WRITE_HYDRATION,1,No
MyNetDiary,android.permission.health.WRITE_NUTRITION,1,No
MyNetDiary,android.permission.health.READ_ACTIVE_CALORIES_BURNED,1,No
MyNetDiary,android.permission.health.READ_TOTAL_CALORIES_BURNED,1,No
MyNetDiary,android.permission.health.READ_EXERCISE,1,No
MyNetDiary,android.permission.SCHEDULE_EXACT_ALARM,1,No
MyNetDiary,android.permission.RECEIVE_BOOT_COMPLETED,1,No
MyNetDiary,android.permission.RECORD_AUDIO,1,No
MyNetDiary,android.permission.WAKE_LOCK,1,No
MyNetDiary,android.permission.USE_BIOMETRIC,1,No
MyNetDiary,android.permission.USE_FINGERPRINT,1,No
MyNetDiary,android.permission.READ_EXTERNAL_STORAGE,1,No
MyNetDiary,android.permission.WRITE_EXTERNAL_STORAGE,1,No
MyNetDiary,com.google.android.c2dm.permission.RECEIVE,1,No
MyNetDiary,android.permission.ACCESS_ADSERVICES_ATTRIBUTION,1,No
MyNetDiary,android.permission.ACCESS_ADSERVICES_AD_ID,1,No
MyNetDiary,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,1,No
MyNetDiary,com.fourtechnologies.mynetdiary.ad.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1,No
MyNetDiary,com.google.android.providers.gsf.permission.READ_GSERVICES,1,No
Macadam,android.permission.INTERNET,1,No
Macadam,android.permission.READ_EXTERNAL_STORAGE,1,No
Macadam,android.permission.SYSTEM_ALERT_WINDOW,1,No
Macadam,android.permission.VIBRATE,1,No
Macadam,android.permission.WRITE_EXTERNAL_STORAGE,1,No
Macadam,android.permission.READ_MEDIA_IMAGES,1,No
Macadam,android.permission.ACCESS_NETWORK_STATE,1,No
Macadam,android.permission.ACTIVITY_RECOGNITION,1,No
Macadam,com.google.android.gms.permission.ACTIVITY_RECOGNITION,1,No
Macadam,android.permission.READ_CONTACTS,1,No
Macadam,android.permission.CAMERA,1,No
Macadam,android.permission.ACCESS_COARSE_LOCATION,1,No
Macadam,android.permission.ACCESS_FINE_LOCATION,1,No
Macadam,android.permission.ACCESS_BACKGROUND_LOCATION,1,No
Macadam,android.permission.FOREGROUND_SERVICE,1,No
Macadam,android.permission.FOREGROUND_SERVICE_HEALTH,1,No
Macadam,com.google.android.gms.permission.AD_ID,1,No
Macadam,android.permission.ACCESS_WIFI_STATE,1,No
Macadam,android.permission.WAKE_LOCK,1,No
Macadam,android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,1,No
Macadam,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,1,No
Macadam,android.permission.RECEIVE_BOOT_COMPLETED,1,No
Macadam,android.permission.RECORD_AUDIO,1,No
Macadam,android.permission.PACKAGE_USAGE_STATS,1,No
Macadam,android.permission.READ_MEDIA_VIDEO,1,No
Macadam,android.permission.READ_MEDIA_VISUAL_USER_SELECTED,1,No
Macadam,android.permission.POST_NOTIFICATIONS,1,No
Macadam,com.applovin.array.apphub.permission.BIND_APPHUB_SERVICE,1,No
Macadam,com.google.android.c2dm.permission.RECEIVE,1,No
Macadam,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,1,No
Macadam,android.permission.ACCESS_ADSERVICES_ATTRIBUTION,1,No
Macadam,android.permission.ACCESS_ADSERVICES_AD_ID,1,No
Macadam,com.google.android.providers.gsf.permission.READ_GSERVICES,1,No
Macadam,android.permission.ACCESS_ADSERVICES_TOPICS,1,No
Macadam,com.macadamapp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1,No
Macadam,android.permission.SCHEDULE_EXACT_ALARM,1,No
Macadam,android.permission.BROADCAST_CLOSE_SYSTEM_DIALOGS,1,No
Macadam,android.permission.ACCESS_NOTIFICATION_POLICY,1,No
VOKA Anatomy Pro,android.permission.INTERNET,1,No
VOKA Anatomy Pro,android.permission.ACCESS_NETWORK_STATE,1,No
VOKA Anatomy Pro,com.google.android.gms.permission.AD_ID,1,No
VOKA Anatomy Pro,android.permission.READ_EXTERNAL_STORAGE,1,No
VOKA Anatomy Pro,android.permission.WRITE_EXTERNAL_STORAGE,1,No
VOKA Anatomy Pro,com.android.vending.BILLING,1,No
VOKA Anatomy Pro,android.permission.CAMERA,1,No
VOKA Anatomy Pro,android.permission.ACCESS_ADSERVICES_ATTRIBUTION,1,No
VOKA Anatomy Pro,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,1,No
VOKA Anatomy Pro,android.permission.WAKE_LOCK,1,No
VOKA Anatomy Pro,com.google.android.c2dm.permission.RECEIVE,1,No
VOKA Anatomy Pro,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,1,No
VOKA Anatomy Pro,android.permission.ACCESS_ADSERVICES_AD_ID,1,No
VOKA Anatomy Pro,com.innowise.pathology3d.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1,No
PineApp,android.permission.INTERNET,1,No
PineApp,android.permission.ACCESS_NETWORK_STATE,1,No
PineApp,android.permission.ACCESS_COARSE_LOCATION,1,No
PineApp,android.permission.ACCESS_FINE_LOCATION,1,No
PineApp,android.permission.ACCESS_BACKGROUND_LOCATION,1,No
PineApp,android.permission.WAKE_LOCK,1,No
PineApp,com.google.android.gms.permission.ACTIVITY_RECOGNITION,1,No
PineApp,android.permission.ACTIVITY_RECOGNITION,1,No
PineApp,android.permission.WRITE_CALENDAR,1,No
PineApp,android.permission.READ_CALENDAR,1,No
PineApp,android.permission.CAMERA,1,No
PineApp,android.permission.VIBRATE,1,No
PineApp,android.permission.USE_BIOMETRIC,1,No
PineApp,android.permission.USE_FINGERPRINT,1,No
PineApp,com.pineapp.prod.permission.DEEPLINK,1,No
PineApp,android.permission.ACCESS_NOTIFICATION_POLICY,1,No
PineApp,android.permission.FOREGROUND_SERVICE,1,No
PineApp,android.permission.SCHEDULE_EXACT_ALARM,1,No
PineApp,android.permission.USE_FULL_SCREEN_INTENT,1,No
PineApp,android.permission.READ_PHONE_STATE,1,No
PineApp,android.permission.BLUETOOTH,1,No
PineApp,android.permission.BLUETOOTH_ADMIN,1,No
PineApp,android.permission.BLUETOOTH_SCAN,1,No
PineApp,android.permission.BLUETOOTH_CONNECT,1,No
PineApp,android.permission.RECEIVE_BOOT_COMPLETED,1,No
PineApp,android.permission.BROADCAST_CLOSE_SYSTEM_DIALOGS,1,No
PineApp,android.permission.RECORD_AUDIO,1,No
PineApp,android.permission.WRITE_EXTERNAL_STORAGE,1,No
PineApp,android.permission.READ_EXTERNAL_STORAGE,1,No
PineApp,android.permission.POST_NOTIFICATIONS,1,No
PineApp,android.permission.BIND_NOTIFICATION_LISTENER_SERVICE,1,No
PineApp,android.permission.MODIFY_AUDIO_SETTINGS,1,No
PineApp,Manifest.permission.CAPTURE_AUDIO_OUTPUT,1,No
PineApp,com.osellus.android.pineapp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1,No
PineApp,com.google.android.gms.permission.AD_ID,1,No
PineApp,android.permission.ACCESS_ADSERVICES_ATTRIBUTION,1,No
PineApp,android.permission.ACCESS_ADSERVICES_AD_ID,1,No
PineApp,com.google.android.c2dm.permission.RECEIVE,1,No
PineApp,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,1,No
PineApp,com.sec.android.provider.badge.permission.READ,1,No
PineApp,com.sec.android.provider.badge.permission.WRITE,1,No
PineApp,com.htc.launcher.permission.READ_SETTINGS,1,No
