App,Permission,Count,Women APK
Anatomy Learning,android.permission.INTERNET,1,No
Anatomy Learning,com.android.vending.BILLING,1,No
Anatomy Learning,android.permission.ACCESS_NETWORK_STATE,1,No
Anatomy Learning,com.android.vending.CHECK_LICENSE,1,No
MyDiabetes,android.permission.VIBRATE,1,No
MyDiabetes,android.permission.INTERNET,1,No
MyDiabetes,android.permission.SYSTEM_ALERT_WINDOW,1,No
MyDiabetes,android.permission.RECEIVE_BOOT_COMPLETED,1,No
MyDiabetes,android.permission.SCHEDULE_EXACT_ALARM,1,No
MyDiabetes,android.permission.READ_EXTERNAL_STORAGE,1,No
MyDiabetes,android.permission.WRITE_EXTERNAL_STORAGE,1,No
MyDiabetes,com.android.vending.BILLING,1,No
MyDiabetes,android.permission.ACTIVITY_RECOGNITION,1,No
MyDiabetes,android.permission.BLUETOOTH,1,No
MyDiabetes,android.permission.BLUETOOTH_ADMIN,1,No
MyDiabetes,android.permission.BLUETOOTH_SCAN,1,No
MyDiabetes,android.permission.BLUETOOTH_CONNECT,1,No
MyDiabetes,android.permission.CAMERA,1,No
MyDiabetes,android.permission.health.READ_STEPS,1,No
MyDiabetes,android.permission.health.READ_BLOOD_GLUCOSE,1,No
MyDiabetes,android.permission.health.WRITE_BLOOD_GLUCOSE,1,No
MyDiabetes,android.permission.health.READ_HYDRATION,1,No
MyDiabetes,android.permission.health.WRITE_HYDRATION,1,No
MyDiabetes,android.permission.health.READ_WEIGHT,1,No
MyDiabetes,android.permission.health.WRITE_WEIGHT,1,No
MyDiabetes,android.permission.health.READ_BLOOD_PRESSURE,1,No
MyDiabetes,android.permission.health.WRITE_BLOOD_PRESSURE,1,No
MyDiabetes,android.permission.health.READ_EXERCISE,1,No
MyDiabetes,android.permission.health.WRITE_EXERCISE,1,No
MyDiabetes,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,1,No
MyDiabetes,com.android.vending.CHECK_LICENSE,1,No
MyDiabetes,com.google.android.gms.permission.AD_ID,1,No
MyDiabetes,android.permission.ACCESS_NETWORK_STATE,1,No
