App,Tracker,Count,Women APK
Anatomy Learning,detected_trackers,1,No
Anatomy Learning,total_trackers,1,No
Anatomy Learning,trackers,1,No
MyDiabetes,detected_trackers,1,No
MyDiabetes,total_trackers,1,No
MyDiabetes,trackers,1,No
CashWalk,detected_trackers,1,No
CashWalk,total_trackers,1,No
CashWalk,trackers,1,No
Sober Sidekick,detected_trackers,1,No
Sober Sidekick,total_trackers,1,No
Sober Sidekick,trackers,1,No
PlushCare,detected_trackers,1,No
PlushCare,total_trackers,1,No
PlushCare,trackers,1,No
NYSOH Upload,detected_trackers,1,No
NYSOH Upload,total_trackers,1,No
NYSOH Upload,trackers,1,No
MyChart,detected_trackers,1,No
MyChart,total_trackers,1,No
MyChart,trackers,1,No
Sydney Health,detected_trackers,1,No
Sydney Health,total_trackers,1,No
Sydney Health,trackers,1,No
 Luna,detected_trackers,1,Yes
 Luna,total_trackers,1,Yes
 Luna,trackers,1,Yes
Sugar Diary,detected_trackers,1,No
Sugar Diary,total_trackers,1,No
Sugar Diary,trackers,1,No
AHM,detected_trackers,1,No
AHM,total_trackers,1,No
AHM,trackers,1,No
Miracle-Ear,detected_trackers,1,No
Miracle-Ear,total_trackers,1,No
Miracle-Ear,trackers,1,No
DonorHub,detected_trackers,1,No
DonorHub,total_trackers,1,No
DonorHub,trackers,1,No
Liftoff,detected_trackers,1,No
Liftoff,total_trackers,1,No
Liftoff,trackers,1,No
Clarity,detected_trackers,1,No
Clarity,total_trackers,1,No
Clarity,trackers,1,No
Health Connect,detected_trackers,1,No
Health Connect,total_trackers,1,No
Health Connect,trackers,1,No
1-800 CONTACTS,detected_trackers,1,No
1-800 CONTACTS,total_trackers,1,No
1-800 CONTACTS,trackers,1,No
MaxView Jobs,detected_trackers,1,No
MaxView Jobs,total_trackers,1,No
MaxView Jobs,trackers,1,No
FixPlus,detected_trackers,1,No
FixPlus,total_trackers,1,No
FixPlus,trackers,1,No
HearMax,detected_trackers,1,No
HearMax,total_trackers,1,No
HearMax,trackers,1,No
Strava,detected_trackers,1,No
Strava,total_trackers,1,No
Strava,trackers,1,No
iTech Wearables,detected_trackers,1,No
iTech Wearables,total_trackers,1,No
iTech Wearables,trackers,1,No
EnhancePro,detected_trackers,1,No
EnhancePro,total_trackers,1,No
EnhancePro,trackers,1,No
7 Minute Workout,detected_trackers,1,No
7 Minute Workout,total_trackers,1,No
7 Minute Workout,trackers,1,No
Reframe,detected_trackers,1,No
Reframe,total_trackers,1,No
Reframe,trackers,1,No
Garner Health,detected_trackers,1,No
Garner Health,total_trackers,1,No
Garner Health,trackers,1,No
Paired,detected_trackers,1,No
Paired,total_trackers,1,No
Paired,trackers,1,No
OpenEvidence,detected_trackers,1,No
OpenEvidence,total_trackers,1,No
OpenEvidence,trackers,1,No
Moneywalk,detected_trackers,1,No
Moneywalk,total_trackers,1,No
Moneywalk,trackers,1,No
Blood Pressure,detected_trackers,1,No
Blood Pressure,total_trackers,1,No
Blood Pressure,trackers,1,No
Herlife,detected_trackers,1,No
Herlife,total_trackers,1,No
Herlife,trackers,1,No
Pill Identifier,detected_trackers,1,No
Pill Identifier,total_trackers,1,No
Pill Identifier,trackers,1,No
CapitalRx,detected_trackers,1,No
CapitalRx,total_trackers,1,No
CapitalRx,trackers,1,No
Providers & ID,detected_trackers,1,No
Providers & ID,total_trackers,1,No
Providers & ID,trackers,1,No
 Step Counter,detected_trackers,1,No
 Step Counter,total_trackers,1,No
