Permission,count
android.permission.INTERNET,377
android.permission.ACCESS_NETWORK_STATE,376
android.permission.WAKE_LOCK,366
android.permission.POST_NOTIFICATIONS,344
android.permission.FOREGROUND_SERVICE,318
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,317
com.google.android.c2dm.permission.RECEIVE,315
android.permission.RECEIVE_BOOT_COMPLETED,282
android.permission.VIBRATE,278
android.permission.WRITE_EXTERNAL_STORAGE,266
com.google.android.gms.permission.AD_ID,261
android.permission.CAMERA,256
android.permission.READ_EXTERNAL_STORAGE,249
android.permission.ACCESS_WIFI_STATE,237
android.permission.ACCESS_ADSERVICES_ATTRIBUTION,232
android.permission.ACCESS_ADSERVICES_AD_ID,215
android.permission.ACCESS_COARSE_LOCATION,209
android.permission.ACCESS_FINE_LOCATION,191
android.permission.USE_FINGERPRINT,177
android.permission.RECORD_AUDIO,174
android.permission.USE_BIOMETRIC,171
android.permission.SCHEDULE_EXACT_ALARM,149
android.permission.BLUETOOTH,129
com.android.vending.BILLING,128
android.permission.MODIFY_AUDIO_SETTINGS,120
android.permission.BLUETOOTH_CONNECT,117
android.permission.ACCESS_ADSERVICES_TOPICS,112
android.permission.READ_PHONE_STATE,102
android.permission.BLUETOOTH_ADMIN,95
android.permission.BLUETOOTH_SCAN,89
android.permission.ACTIVITY_RECOGNITION,88
android.permission.SYSTEM_ALERT_WINDOW,85
com.google.android.providers.gsf.permission.READ_GSERVICES,83
com.htc.launcher.permission.READ_SETTINGS,70
com.huawei.android.launcher.permission.READ_SETTINGS,69
com.huawei.android.launcher.permission.WRITE_SETTINGS,69
com.sec.android.provider.badge.permission.WRITE,68
com.htc.launcher.permission.UPDATE_SHORTCUT,68
com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,68
com.sonyericsson.home.permission.BROADCAST_BADGE,68
com.huawei.android.launcher.permission.CHANGE_BADGE,68
com.oppo.launcher.permission.READ_SETTINGS,68
com.sec.android.provider.badge.permission.READ,68
com.oppo.launcher.permission.WRITE_SETTINGS,68
com.majeur.launcher.permission.UPDATE_BADGE,67
com.anddoes.launcher.permission.UPDATE_COUNT,67
android.permission.CALL_PHONE,66
me.everything.badger.permission.BADGE_COUNT_READ,66
android.permission.READ_APP_BADGE,66
me.everything.badger.permission.BADGE_COUNT_WRITE,66
com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,62
android.permission.health.READ_STEPS,58
android.permission.ACCESS_ADSERVICES_CUSTOM_AUDIENCE,58
com.applovin.array.apphub.permission.BIND_APPHUB_SERVICE,54
android.permission.ACCESS_BACKGROUND_LOCATION,53
android.permission.READ_MEDIA_IMAGES,53
android.permission.WRITE_CALENDAR,52
com.android.vending.CHECK_LICENSE,52
com.samsung.android.mapsagent.permission.READ_APP_INFO,51
android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK,50
android.permission.READ_CALENDAR,50
android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,49
android.permission.USE_FULL_SCREEN_INTENT,49
android.permission.health.READ_EXERCISE,47
android.permission.health.READ_WEIGHT,47
android.permission.FOREGROUND_SERVICE_LOCATION,46
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,43
android.permission.READ_CONTACTS,42
android.permission.FOREGROUND_SERVICE_DATA_SYNC,41
android.permission.REORDER_TASKS,40
android.permission.ACCESS_NOTIFICATION_POLICY,38
android.permission.GET_ACCOUNTS,37
android.permission.FOREGROUND_SERVICE_CONNECTED_DEVICE,37
android.permission.health.READ_DISTANCE,34
android.permission.health.READ_ACTIVE_CALORIES_BURNED,33
android.permission.health.READ_HEART_RATE,33
android.permission.FOREGROUND_SERVICE_MICROPHONE,33
com.google.android.gms.permission.ACTIVITY_RECOGNITION,32
android.permission.health.READ_BODY_FAT,31
android.permission.health.READ_BLOOD_PRESSURE,31
android.permission.health.READ_NUTRITION,29
android.permission.health.READ_HYDRATION,29
android.permission.health.READ_BLOOD_GLUCOSE,29
android.permission.READ_MEDIA_VISUAL_USER_SELECTED,29
android.permission.health.READ_HEIGHT,27
android.permission.BROADCAST_CLOSE_SYSTEM_DIALOGS,27
android.permission.health.READ_SLEEP,27
android.permission.CHANGE_NETWORK_STATE,26
android.permission.READ_MEDIA_AUDIO,25
android.permission.health.READ_RESTING_HEART_RATE,24
android.permission.READ_MEDIA_VIDEO,24
android.permission.BLUETOOTH_ADVERTISE,24
android.permission.health.READ_HEALTH_DATA_IN_BACKGROUND,24
android.permission.health.READ_TOTAL_CALORIES_BURNED,23
android.permission.health.READ_OXYGEN_SATURATION,23
android.permission.FOREGROUND_SERVICE_HEALTH,23
android.permission.health.READ_HEART_RATE_VARIABILITY,23
android.permission.health.READ_BODY_TEMPERATURE,23
android.permission.health.READ_BASAL_METABOLIC_RATE,22
android.permission.BROADCAST_STICKY,22
android.permission.health.READ_VO2_MAX,22
android.permission.health.WRITE_WEIGHT,21
android.permission.USE_CREDENTIALS,21
android.permission.health.READ_RESPIRATORY_RATE,21
android.permission.health.READ_FLOORS_CLIMBED,21
android.permission.health.READ_BASAL_BODY_TEMPERATURE,20
android.permission.FLASHLIGHT,19
android.permission.health.READ_LEAN_BODY_MASS,19
android.permission.health.READ_WHEELCHAIR_PUSHES,17
android.permission.FOREGROUND_SERVICE_SPECIAL_USE,17
android.permission.health.WRITE_EXERCISE,17
android.permission.CHANGE_WIFI_STATE,17
android.permission.health.WRITE_HEART_RATE,16
android.permission.health.WRITE_STEPS,16
android.permission.ACCESS_MEDIA_LOCATION,15
android.permission.AUTHENTICATE_ACCOUNTS,15
android.permission.USE_EXACT_ALARM,15
android.permission.ANSWER_PHONE_CALLS,15
android.permission.HIGH_SAMPLING_RATE_SENSORS,14
android.permission.NFC,14
android.permission.READ_CALL_LOG,13
android.permission.GET_TASKS,13
android.permission.BODY_SENSORS,13
android.permission.RECEIVE_USER_PRESENT,12
android.permission.FOREGROUND_SERVICE_PHONE_CALL,12
android.permission.health.WRITE_DISTANCE,12
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,11
android.permission.FOREGROUND_SERVICE_MEDIA_PROJECTION,11
android.permission.health.WRITE_BODY_FAT,11
android.permission.health.WRITE_TOTAL_CALORIES_BURNED,11
com.android.alarm.permission.SET_ALARM,11
android.permission.MANAGE_OWN_CALLS,11
android.permission.EXPAND_STATUS_BAR,11
com.huawei.permission.external_app_settings.USE_COMPONENT,10
android.permission.WRITE_CONTACTS,10
android.permission.READ_SYNC_SETTINGS,10
android.permission.health.WRITE_NUTRITION,10
android.permission.DETECT_SCREEN_CAPTURE,10
android.permission.health.WRITE_ACTIVE_CALORIES_BURNED,10
android.permission.DISABLE_KEYGUARD,10
android.permission.health.WRITE_BLOOD_PRESSURE,9
android.permission.health.WRITE_HYDRATION,9
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE,9
android.permission.WRITE_SYNC_SETTINGS,9
android.permission.READ_PHONE_NUMBERS,9
android.permission.health.WRITE_SLEEP,9
android.permission.QUERY_ALL_PACKAGES,8
android.permission.FOREGROUND_SERVICE_CAMERA,8
android.permission.SET_ALARM,8
android.permission.RECEIVE_SMS,8
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,8
android.permission.health.WRITE_HEIGHT,8
android.permission.health.WRITE_BLOOD_GLUCOSE,8
android.permission.WRITE_SETTINGS,8
android.permission.PACKAGE_USAGE_STATS,8
android.permission.CHANGE_WIFI_MULTICAST_STATE,7
android.permission.MEDIA_CONTENT_CONTROL,7
com.android.launcher.permission.INSTALL_SHORTCUT,7
android.permission.AD_SERVICES_CONFIG,7
